code,variable_group,var_version,Definition,control_mean,control_sd,effect_size,standard_error,pct_of_cm,usd_cum_inflation_to_2023,usdxr_yearofstudy,currency,yearofstudy,Follow up,N,Source
yegbemey_2023,takeup,1,use of SMS with weather information among treatment farmers.,na,na,0.70,na,,,,,,7 months (pooled monthly surveys),311,"Page 106182 ""As upwards of 30% of farmers in the treatment group reported not using the SMS in a given month"""
yegbemey_2023,profits,1,na,,,,,,,,,,,,
yegbemey_2023,revenue,1,na,,,,,,,,,,,,
yegbemey_2023,costs,1,"maize, total labor expenditure per hectare, denoted USD/ha.",113.55,na,-26.07,6.72,-22.96%,1.212689053,1,USD,2018,7 months (pooled monthly surveys),305,Table 3
yegbemey_2023,costs,3,"maize, paid labor expenditure per hectare, denoted USD/ha.",59.41,na,-12.87,6.72,-21.66%,1.212689053,1,USD,2018,7 months (pooled monthly surveys),305,Table 3
yegbemey_2023,land,1,maize land acreage (ha) at baseline,6.28,1.92,,,,,,,,,,Table 2
yegbemey_2023,yields,1,maize in kg per ha ,3523.58,na,249.87,377.20,7.09%,,,,,7 months (pooled monthly surveys),261,Table 3
yegbemey_2023,consumption,1,na,,,,,,,,,,,,
yegbemey_2023,costs,2,"cotton, total labor expenditure per hectare, denoted USD/ha.",246.77,na,-41.90,18.18,-16.98%,1.212689053,1,USD,2018,7 months (pooled monthly surveys),259,Table 3
yegbemey_2023,costs,4,"cotton, paid labor expenditure per hectare, denoted USD/ha.",109.01,na,0.64,18.18,0.59%,1.212689053,1,USD,2018,7 months (pooled monthly surveys),259,Table 3
yegbemey_2023,land,2,cotton land acreage (ha) at baseline,4.45,1.8,,,,,,,,7 months (pooled monthly surveys),,Table 2
yegbemey_2023,yields,2,cotton in kg per ha ,1613.53,na,153.73,39.79,9.53%,,,,,7 months (pooled monthly surveys),298,Table 3
cole_2025,takeup,1,listened >=1 ag. advisory call more than 10s,0,,0.94,0.005,,,,,,,,
cole_2025,takeup,2,total minutes spent on the digital service,na,na,29.89,0.50,,,,,,6 months,2078,Table 2
cole_2025,profits,1,"total value of harvest (calculated using median sales prices in farmers’ location) minus total variable cost, INR",7706.75,na,326.41,929.95,4.24%,1.164927044,0.0135,INR,2021,6 months,1929,Table 6
cole_2025,revenue,1,self-reported revenue from rice sales (INR),16606.245,na,656.70,888.63,3.95%,1.164927044,0.0135,INR,2021,6 months,1929,Table 6
cole_2025,costs,1,"total variable cost of rice cultivation (INR), summation of raw cost items: Seed, Fertilizer, Pesticide, Irrigation, Worker, Tractor, Transport, Other",25634.269,na,820.33,554.28,3.20%,1.164927044,0.0135,INR,2021,6 months,1929,Table 6
cole_2025,costs,2,worker costs (INR),9139.174,8459.24,371.02,270.25,4.06%,1.164927044,0.0135,INR,2021,6 months,1929,Table A6
